paper no.;author;year;scale name;general notes ;clear construct definition;relevance of construct (to motivation review);paradigm fit;enough information?;include/exclude;scale in another original paper;instrument focused 1(y)/0(n);note: focus if not instrumental;external validity (y/n);which external validity;Test theory;note 1: validity;No of categories;variance in score y/n/nr;ceiling/floor effect;internal consistency y/n;internal consistency measure;internal consistency score;inter-rater reliability y/n;inter-rater reliability score;note2: reliabilty;crucial skill;disadvantaged population;note3: fairness;Duration;estimate y/n;No. items;expansion/reduction possible;note4: efficiency;age group mean;age group range;grade;ages applied;country of study;population (typical/what disorder);Particular sample (e.g. non-native, underprivileged);sample size;note5: sample;IQ y/n;SES y/n;personality measure y/n;musical training y/n;home environment y/n2;note6: control variables;Hearing Acuity;volume;Timbre/Instrument;Analysis;Discrimination / Recognition;Association;Recall / Production;Performance;Sensorimotor synchronization;meter;beat;tempo;Analysis5;Discrimination / Recognition6;Association7;Recall/ Production;Performance8;Key/Absolute Pitch;mode;Analysis9;Discrimination/Recognition;Association10;Recall / Production11;Performance12;Analysis13;Discrimination/recognition14;Association15;Recall/ Production16;Performance17;Improvisation;composition;Singing ;Dance;interest;internal motivation;external motivation;note names;basic music categories;form perception;aesthetics/ aesthetical evaluation;function/target audience;emotion/mood;single tones;intervals;chords;phrases;harmonic sequence;full songs;individual or group testing;potential for group testing;evaluation notes;study design notes;questionnaire/interview;self-report;parent report;teacher-report;available for research use (y/n/unsure);all necessary items and instructions for testing available in paper or online (y/n);coder;missing tags;newly added?;;;;;;;;;;;;;;;
394be;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Piano Autonomous Motivation scale (PAMS);Amotivation: Adapted from Survey of Musical Interests paper 1454  and later part of MLM paper 403;1;1;1;1;4;;1;;y;cross-cultural and additional measures (work ethic questionnaire);Self-Determination theory;no comparison between measures for validity (despite similarity of work ethic Q);7-point likert scale (not at all like me- perfectly like me);;;y;cronbach's alpha;a=0.81;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation;6m;y;6;y;n;10.61y;6 to 17 y;nr; 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;China and US;TD;receiving piano tuition with one year of experience;150;recruited via music teachers (potential bias);n;n;n;y;n;recruited on the basis of having 1 year of piano experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;y;mean ratings compared between samples from differnet cultures to test a quite racist stereotype!;child and parent reports;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
394a;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Work ethic questionnaire (includes 8 items from survery of musical interests);"see also in paper 403 named 'diligence when practicing' for similar scale; child and parent's reports about children's work ethic focused mainly on piano playing, although includes a question about whether they believe musical ability is changeable which does not specifically refer to piano playing. 2 items were written for the current survey and 8 items taken from the survey of musical interests (paper 1454)";1;1;1;1;4;;1;;y;cross-cultural and additional measures (PAMS);n;no comparison between measures for validity (despite similarity of PAMS);3-7: 3 individual response categories for two items, 7 point likert scale for 8 items;nr;"y-ceiling; all mean scores for the questions with a max score of 3 were above 2, and most above 2.5";n;nr;nr;n;NA;no cronbach's alpha and no statistic to compare child and parent responses on related questions ;language skills and parent insight;;quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation;10m;y;10;y;the set of questions designed to assess ' child's interest in working hard at practicing the piano' overlaps significantly with the PAMS reported in 394b;10.61y;6 to 17 y;nr; 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;China and US;TD;receiving piano tuition with one year of experience;150;recruited via music teachers (potential bias);n;n;n;y;n;recruited on the basis of having 1 year of piano experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;0;y;mean ratings compared between samples from differnet cultures to test a quite racist stereotype!;child and parent reports;1;1;1;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403ab;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Motivation for Learning Music questionnaire (MLM);External regulation subscale: Focus on piano leaning but can be applied to any instrument. See also paper 394bd (PAMS) ;1;1;1;1;4;;1;;y;other measures: various questions developed for paper as construct validity measures;Self-Determination theory;construct validity with additional measures;7-point likert scale (not at all like me- perfectly like me);y;n;y;cronbach's alpha;a=0.87;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;5m;y;5;n;factor analysis and reliability analyses support using this number of items;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;258 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;group;y;;questionnaire;1;;;;y;y: https://selfdeterminationtheory.org/motivation-for-learning-music/;SH;external regulation;;;;;;;;;;;;;;;;
403aa;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Motivation for Learning Music questionnaire (MLM) ;Amotivation subscale: Focus on piano leaning but can be applied to any instrument. See also paper 394bd (PAMS);1;1;1;1;4;;1;;y;other measures: various questions developed for paper as construct validity measures;Self-Determination theory;construct validity with additional measures;7-point likert scale (not at all like me- perfectly like me);y;n;y;cronbach's alpha;a=0.85;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;5m;y;5;n;factor analysis and reliability analyses support using this number of items;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;257 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;questionnaire;1;;;;y;y: https://selfdeterminationtheory.org/motivation-for-learning-music/;SH/CM;amotivation;;;;;;;;;;;;;;;;
403ac;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Motivation for Learning Music questionnaire (MLM); Introjection subscale: Focus on piano leaning- can be applied to any instrument. See also paper 394bd (PAMS);1;1;1;1;4;;1;;y;other measures: various questions developed for paper as construct validity measures;Self-Determination theory;construct validity with additional measures;7-point likert scale (not at all like me- perfectly like me);y;n;y;cronbach's alpha;a=0.87;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;5m;y;5;n;factor analysis and reliability analyses support using this number of items;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;259 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;questionnaire;1;;;;y;y: https://selfdeterminationtheory.org/motivation-for-learning-music/;SH;introjection;;;;;;;;;;;;;;;;
403ad;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Motivation for Learning Music questionnaire (MLM);Identification and integration: Focus on piano leaning- can be applied to any instrument. See also paper 394bd (PAMS);1;1;1;1;4;;1;;y;other measures: various questions developed for paper as construct validity measures;Self-Determination theory;construct validity with additional measures;7-point likert scale (not at all like me- perfectly like me);y;n;y;cronbach's alpha;a=0.82;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;5m;y;5;n;factor analysis and reliability analyses support using this number of items;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;260 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;questionnaire;1;;;;y;y: https://selfdeterminationtheory.org/motivation-for-learning-music/;SH;identification, integration;;;;;;;;;;;;;;;;
403ae;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Motivation for Learning Music questionnaire (MLM);Intrinsic motivation: Focus on piano leaning- can be applied to any instrument. See also paper 394bd (PAMS);1;1;1;1;4;;1;;y;other measures: various questions developed for paper as construct validity measures;Self-Determination theory;construct validity with additional measures;7-point likert scale (not at all like me- perfectly like me);y;n;y;cronbach's alpha;a=0.85;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;5m;y;5;n;factor analysis and reliability analyses support using this number of items;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;261 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;questionnaire;1;;;;y;y: https://selfdeterminationtheory.org/motivation-for-learning-music/;SH;;;;;;;;;;;;;;;;;
403ba;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;child report on doing practice only when forced by others/self: included as a construct validation measure;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;7-point likert scale (not at all like me- perfectly like me);y: M=3.02, SD=1.34;n;y;cronbach's alpha;a=0.73;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;6m;y;6;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;262 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;y;;child questionnaire;1;1;;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403bb;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;parent report of giving tangible rewards to child for home practice;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;5-point likert scale (never-always);y: M=1.97, SD=1.17;n;n;NA;NA;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;1m;y;1;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;263 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;y;;parent questionnaire;1;;1;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403bc;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;parent report of giving tangible rewards to child for musical achievement;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;5-point likert scale (never-always);y: M=2.41, SD=1.34;n;n;NA;NA;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;1m;y;1;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;264 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;y;;parent questionnaire;1;;1;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403bd;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;parent report of minutes of child's weekly instrumental practice;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;NA;y: M=172.98, SD=145.09;n;n;NA;NA;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;1m;y;1;n;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;265 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;y;;parent questionnaire;1;;1;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403be;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;child report of interest in the mundane aspects of instrument practice: similar to 'work ethic questionnaire' in earlier paper 394;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;7-point likert (not interesting at all-very interesting);y: M=4.28, SD=1.35;n;y;cronbach's alpha;a=0.79;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;8m;y;8;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;266 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;y;;child questionnaire;1;1;;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403bf;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;parent estimate of probability that child will continue playing as an adult: related to motivation as an expected outcome of motivated practice;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;5-point likert (not likely-absolutely);y: M=3.58, SD=1.09;n;n;NA;NA;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;1m;y;1;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;267 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;y;;parent questionnaire;1;;1;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
403bg;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;parent report of how much child participates in optional music activities;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;5 point likert ( never to always);y: M=1.20, SD=1.03;n;y;cronbach's alpha;a=0.67;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;3m;y;3;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;268 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;y;;parent questionnaire;1;;1;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
392c;Denac, O.;2008;Untitled;"test for evaluating interest of the child in different types of music; adapted from tests developed by Abel-Struth & Groeben (1979): children are asked to colour a circle to indicate how interested they are in listening to different styles of music";0;1;0;1;2-> exclude;;0;music listening and genre preferences;n;NA;n;questionable methodology: children are asked to rate their enjoyment of one piece of music taken to represent an entire genre, and this is taken as an indicator of interest. Conflating interest and enjoyment?;5;y: range of most liked styles 3.4%-31.9%;n;n;NA;NA;n;NA;;;;;nr;n;;y;many more genres should be included: only had classical, pop, folkpop and folk;;7 to 6 y;preschool;5,6;Slovenia;TD;;176;;n;n;n;n;n;"recruited by sending a letter out to all preschools; potential bias of those who prioritise music?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;individual;y;;listening test;;;;;;;CM;;;;;;;;;;;;;;;;;
403bh;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;child report of interest in creative composing and improvising;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;7-point likert (not interesting at all- very interesting);y: M=5.06, SD=1.61;n;y;cronbach's alpha;a=0.81;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;4m;y;4;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;269 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;y;;child questionnaire;1;1;;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
